Read more,Mehr lesen
%1 Comment(s),%1 Kommentar(e)
Add a comment...,Einen Kommentar hinzufügen...
Sign in to post a comment/ Leave a reply,"Melden Sie sich an, um einen Kommentar zu posten/ Hinterlassen Sie eine Antwort"
Full Name,Vollständiger Name
Email,E-Mail
Submit,Senden
Sign In,Anmelden
Load more comments,Mehr Kommentare laden
Leave a reply,Hinterlassen Sie eine Antwort
Cancel,Abbrechen
Related Posts,Verwandte Beiträge
Read More,Mehr lesen
Careshop,Careshop
Recent Posts,Neueste Beiträge
Explore products that are being developed and improved,"Entdecke Produkte, die entwickelt und verbessert werden"
Develop This Product,Dieses Produkt entwickeln   
Visit Our Lab,Besuch Unser Labor 
No options are available for this products,Für dieses Produkt sind keine Optionen verfügbar
We can't find products matching the selection.,"Wir können keine Produkte finden, die der Auswahl entsprechen."
Special Deal,Sonderangebot
Instead of,Statt
Out Of Stock,Nicht auf Lager
Learn More,Mehr erfahren
Related Products,Ähnliche Produkte
We found other products you might like!,"Wir haben andere Produkte gefunden, die Dir gefallen könnten!"
More Choices:,Mehr Auswahl:
Customers Who Bought This Item Also Bought,"Kunden, die diesen Artikel kauften, kauften auch"
New Products,Neue Produkte
Add to cart,In den Warenkorb legen
Check items and add to the cart or,Artikel prüfen und in den Warenkorb legen oder
Select all,Alles auswählen
Add to Cart,In den Warenkorb legen
Qty,Menge
Optional,Optional
Not Available,Nicht verfügbar
Next,Nächste
Prev,Vorherige
Included in Product Set,Im Produktset enthalten
Learn More About The Product,Mehr Über Das Produkt Erfahren
Total value,Gesamtwert
Show More,Mehr zeigen
Show Less,Weniger anzeigen
Improve This Product,Verbessere Dieses Produkt
Jacket,Jacke
Pant,Hose
Boxer,Boxershorts
Backpack,Rucksack
You save,Du sparst
Size Chart,Größentabelle
Shopping Cart Items,Einkaufswagen Artikel
Item,Artikel
Price,Preis
Subtotal,Zwischensumme
Continue Shopping,Weiter einkaufen
Clear Shopping Cart,Warenkorb löschen
Update Shopping Cart,Einkaufswagen aktualisieren
See price before order confirmation.,Preis vor Auftragsbestätigung anzeigen.
What's this?,Was ist das?
Your Cart,Ihr Einkaufswagen
* Required Fields,* Erforderliche Felder
Contact Information,Kontakt Informationen
Address,Anschrift
Street Address %1,Straße und Hausnummer %1
City,Stadt
Please select a region,Bitte wählen Sie eine Region
Default billing address,Standard-Rechnungsadresse
Use as my default billing address,Als meine Standard-Rechnungsadresse verwenden
Default shipping address,Standard-Lieferadresse
Use as my default shipping address,Als meine Standard-Lieferadresse verwenden
Save Address,Adresse speichern
Go back,Zurück gehen
My Account,Mein Konto
Sign in,Anmelden
Sign up,REGISTRIEREN
Forgot Your Password?,Passwort vergessen?
Please enter your email address below to receive a password reset link.,"Bitte gebe unten Deine E-Mail-Adresse ein, um einen Link zum Zurücksetzen des Passworts zu erhalten."
Already have an account? Sign in here with your email address.,Du hast bereits ein Konto? Melde Dich hier mit Deiner E-Mail-Adresse an.
Password,Passwort 
Not a member?,Du bist noch kein Mitglied?
Sign up now,Jetzt anmelden
Or,Oder
Create a new account,Ein neues Konto erstellen
Address Information,Informationen zur Adresse
Password Strength,Passwortstärke
No Password,Kein Passwort
Confirm Password,Passwort bestätigen
Create an Account,Ein Konto erstellen
Newsletter,Newsletter
Sign Up For Newsletter,Für den Newsletter anmelden
I want to receive exclusive offers by e-mail*,Ich möchte exklusive Angebote per E-Mail erhalten*
* I have read,* Ich habe gelesen
Privacy Policy,Datenschutzbestimmungen
Name,Name
item,Artikel
items,Artikel
Now Shopping by,Jetzt einkaufen bei
Previous,Vorherige
Remove,Entfernen
Remove This Item,Diesen Artikel entfernen
Shop by,Einkaufen nach
Clear All,Alle löschen
Shop By,Einkaufen nach
Shopping Options,Einkaufsoptionen
Newsletter Sign up,Newsletter Anmeldung
Sign up to our newsletter and secure a 10 CHF voucher,Melden Sie sich für den Newsletter an und erhalten Sie CHF 10 Rabatt für Ihre erste Bestellung!
Sign up to the CARESHOP newsletter and benefit from regular offers and information.,Melde Dich für den CARESHOP-Newsletter an und erhalte weitere Vorteile und regelmäßige Informationen.
"For your registration, we gift you with a 10 CHF shopping voucher**",Per la tua registrazione ti regaliamo un buono acquisto di 10 USD**
Get a coupon CHF 10 with new registration,Erhalte einen 10-Franken Gutschein bei Neuanmeldung
Sign up for our Newsletter and get a 10usd voucher,Melden Sie sich für unseren Newsletter an und erhalten Sie einen 10usd-Gutschein
Enter your email address,Geben Sie Ihre E-Mail Adresse ein
Subscribe,Abonnieren
Rating,Bewertung
Read ' . . ' Reviews,Lesen ' . . ' Bewertungen
Be the first to review this product,"Sei der Erste, der dieses Produkt bewertet"
Write a review,Eine Bewertung schreiben
Sort By,Sortieren nach
Highest to Lowest Rating,Höchste bis niedrigste Bewertung
Lowest to Highest Rating,Niedrigste bis Höchste Bewertung
Most Recent,Das Neueste
Have you owned this product? Let us know what you think.,"Hast Du dieses Produkt besessen? Sage uns, was Du  darüber denkst."
Read privacy policy,Datenschutzbestimmungen lesen
Reviews,Bewertungen
Improved,Verbessert
What to improve,Was zu verbessern ist
All Orders,Alle Bestellungen
Complete,Vollständig
Shipping,Versand
Returned,Zurückgeschickt
Order,Bestellung
Placed on,Platziert am
MANAGE,VERWALTEN
Returned on,Zurückgeschickt am
Pending,Ausstehend
Delivered,Geliefert
Estimated Delivery on,Geschätzte Lieferung am
Delivered on,Geliefert am
Status,Status
You have placed no orders.,Du hast keine Bestellungen aufgegeben.
Order Information,Informationen zur Bestellung
Shipping Address,Versandadresse
Shipping Method,Versandart
There is no shipping information available,Es sind keine Versandinformationen verfügbar
Billing Address,Rechnungsadresse
Payment Method,Zahlungsmethode
Items Ordered,Bestellte Artikel
Gift Message,Geschenk-Nachricht
Close,Schließen
From,Von
To,An
7 Days Careshop refund warranty,7 Tage Careshop-Rückgabegarantie
Reason for return:,Grund für die Rückgabe:
The product is good,Das Produkt ist gut
Return,Rückgabe
Return is Not Available,Rückgabe ist nicht möglich
It is not possible to return this item as it has exceeded the time period of our returns policy. For more information please visit,"Es ist nicht möglich, diesen Artikel zurückzusenden, da die Zeitspanne unseres Rückgaberechts überschritten wurde. Für weitere Informationen besuche bitte"
Return Policy,Rückgabebedingungen
of Careshop.,von Careshop.
Total :,Total :
Improve this product,Verbessern Sie das Produkt
Your package was ' . . ' . Thank you for shopping at Careshop,"Dein Paket wurde "" ... "". Vielen Dank für Deinen Einkauf bei Careshop"
Your package ' . . '. Thank you for shopping at Careshop and see you on your next purchase!,Ihr Paket ' . . '. Vielen Dank für Ihren Einkauf bei Careshop und bis zu Ihrem nächsten Einkauf!
Your package has been delivered. Thank you for shopping at Careshop and see you on your next purchase!,Ihr Paket wurde geliefert. Vielen Dank für Ihren Einkauf bei Careshop und bis zu Ihrem nächsten Einkauf!
Gift Message for This Order,Geschenknachricht für diese Bestellung
We are nearly complete.,Wir sind fast fertig.
COMING SOON,KOMMT BALD
Special offers,Besondere Angebote
Language,Sprache
Currency,Währung
Ship to,Versand nach
Edit Account Details,Kontodetails bearbeiten
Order History,Verlauf der Bestellung
Wish List,Wunschzettel
My Subscriptions,Meine Abonnements
Log Out,Abmelden
Sign In / Sign Up,Anmelden / Registrieren
Order Status,Status der Bestellung
Customer Service,Kundenbetreuung
Contact Us,Kontaktiere uns
Returns & Repairs,Rücksendungen & Reparaturen
Shipping Information,Informationen zum Versand
FAQ (FREQUENTLY ASKED QUESTIONS),FAQ (HÄUFIG GESTELLTE FRAGEN)
Availability,Verfügbarkeit
In stock,Vorrätig
Out of stock,Nicht auf Lager
Remove Item,Artikel entfernen
Delete,Löschen
Watchlist,Beobachtungsliste
This Wish List has no Items,Dieser Wunschzettel hat keine Artikel
Wishlist,Wunschzettel
Voucher,Gutschein
You have no items in your wish list.,Du hast keine Artikel auf Deinem Wunschzettel.
Your Customization,Deine Anpassung
Size,Größe
ALL,ALLE
Summary,Zusammenfassung
1%,1%
%1 x %2,%1 x %2
Configurator,Konfigurator
Selection Qty,Auswahl Menge
None,Keine
Request New Password?,Neues Passwort anfordern?
Create New Password?,Neues Passwort erstellen?
Newsletter (Sign Up),Newsletter (Anmeldung)
Stores,Läden
Search,Suche
Notify!,Benachrichtigen!
Product is Out Of Stock,Produkt ist nicht auf Lager
More,Mehr
Color,Farbe
Seat,Sitz
Suggest on the following,Vorschläge zu folgenden Punkten
Function,Funktion
Other,Andere
Feature,Merkmal
Your email,Ihre E-Mail
Submit your idea on this product,Reiche Deine Idee zu diesem Produkt ein
Join us & Win,Mitmachen & Gewinnen
Haven't found what you are looking for?,"Hast Du nicht gefunden, wonach Du suchst?"
Quantity,Menge
Which size fits me?,Welche Größe passt mir?
Features,Eigenschaften
Specifications,Spezifikationen
Accessories,Zubehör
Videos,Videos
Manual,Handbuch
Know How,Gewusst wie
Footprint,Fußabdruck
Address Book,Adressbuch
Account Information,Konto-Informationen
Full Width,Volle Breite
Landing page,Landing Page
Product Details and Comment,Produktdetails und Kommentar
"Explore which products we're developing and improving at the moment",Erfahren Sie, welche Produkte wir derzeit entwickeln und verbessern
Add to Wish List,Zur Wunschliste hinzufügen